dish_id,total_calories,total_mass,total_fat,total_carb,total_protein
dish_1566242164,79.220001,161.0,4.47,9.891001,1.513
dish_1550775363,402.75,166.0,30.093,28.190001,12.973
dish_1564686832,829.737549,392.0,39.732468,64.516342,54.179504
dish_1566502211,104.279999,237.0,4.977,10.191,7.584001
dish_1551314967,142.099991,139.0,7.113,15.960001,7.775
dish_1561753238,298.034393,333.0,13.71139,14.026631,28.881098
dish_1566938026,450.576294,219.0,17.546904,37.536308,33.509502
dish_1562617703,179.630005,110.0,6.49,26.950001,4.51
dish_1551125357,23.120001,68.0,0.476,4.624,0.476
dish_1559751801,451.635986,343.0,22.040001,32.778,29.228001
dish_1564000490,532.706482,325.0,19.150002,49.639648,39.909866
dish_1551389684,6.732,33.0,0.033,1.287,0.726
dish_1564000459,485.186493,217.0,16.882004,44.995647,36.453865
dish_1558457530,16.0,64.0,0.192,3.2,1.152
dish_1551563213,137.089996,137.0,6.757,11.004,9.523
dish_1558723449,74.360001,143.0,0.286,20.02,0.429
dish_1567628157,373.190979,355.0,36.018696,25.867041,37.479683
dish_1566502505,454.517365,275.0,22.45969,33.146801,31.874937
dish_1565728415,194.42775,80.0,8.405299,16.724396,12.005533
dish_1550775318,333.850006,55.0,29.700001,11.549999,11.0
dish_1565383026,171.559998,287.0,14.031,12.198999,3.695
dish_1558642089,39.360001,96.0,0.192,9.6,0.864
dish_1566849923,127.970001,240.0,7.515,16.214001,2.093
dish_1550863247,17.16,33.0,0.066,4.62,0.099
dish_1550772027,66.300003,142.0,0.564,15.336,1.476
dish_1550797833,292.003998,168.0,17.58,19.098,14.083
dish_1562959732,374.663696,232.0,14.678156,31.110981,28.858997
dish_1560368972,196.840424,107.0,8.696033,13.621221,14.67344
dish_1566502537,517.644226,315.0,24.27223,34.292435,41.827816
dish_1561576590,29.231468,101.0,1.295191,3.387423,0.896671
dish_1558723866,14.75,59.0,0.177,2.95,1.062
dish_1564778030,504.417786,283.0,31.904985,23.514265,30.773952
dish_1551222759,14.8,37.0,0.074,3.33,0.74
dish_1551380950,84.419998,21.0,6.93,0.273,5.25
dish_1561392512,42.75,75.0,0.225,10.5,0.525
dish_1564675118,177.188782,238.0,4.080829,34.125175,2.032732
dish_1566838407,358.947601,558.0,9.825659,62.420345,9.731463
dish_1559319860,70.330002,13.0,5.46,0.182,4.81
dish_1559242568,116.116005,203.0,0.203,30.855999,0.812
dish_1563824339,85.339996,175.0,4.087,12.075,2.098
dish_1551306452,98.0,70.0,0.42,16.799999,6.3
dish_1567021831,252.435623,228.0,27.216339,8.228521,22.713125
dish_1559846099,206.938995,114.0,14.642001,15.712999,7.688
dish_1562873155,41.33675,79.0,2.052025,5.39175,1.38645
dish_1562094621,10.54,34.0,0.034,2.38,0.612
dish_1563900150,202.2966,154.0,12.745122,10.284879,10.978048
dish_1551390979,55.510002,91.0,0.455,13.650001,1.001
dish_1562086702,178.529999,33.0,13.86,0.462,12.21
dish_1564429894,498.769836,566.0,11.819027,73.531738,25.254065
dish_1561662458,124.815498,119.0,4.855837,21.055183,3.202388
dish_1558720364,73.839996,142.0,0.284,19.879999,0.426
dish_1559845290,66.220001,86.0,0.086,14.62,1.72
dish_1550707156,645.002014,335.0,43.278999,26.605999,35.140999
dish_1559844506,98.959999,180.0,0.459,25.1,1.312
dish_1560360055,362.734009,180.0,27.786999,4.154,22.556999
dish_1551488861,217.098007,63.0,17.198999,2.646,12.159
dish_1567106825,220.200867,104.0,16.905151,3.357732,13.460875
dish_1562099053,98.382996,37.0,3.478,12.395,4.144
dish_1560453380,411.388397,480.0,15.234276,25.491495,41.922752
dish_1566849327,551.702026,362.0,31.255999,14.87,55.122002
dish_1560527191,663.989319,318.0,45.395912,28.933577,34.38044
dish_1563898786,420.928467,344.0,31.47023,11.427504,23.636036
dish_1551381829,2.652,13.0,0.013,0.507,0.286
dish_1551376692,41.279999,43.0,0.645,9.03,1.462
dish_1551565752,122.25,131.0,2.79,13.64,10.773
dish_1560973958,145.313232,121.0,6.214187,20.729744,4.312272
dish_1558546663,330.734009,197.0,22.108002,30.264,10.601
dish_1550861432,26.789999,47.0,0.141,6.58,0.329
dish_1551393210,484.329987,190.0,34.821003,31.131001,18.821001
dish_1563206582,229.248688,320.0,4.417208,16.967773,26.033964
dish_1565207815,40.848213,80.0,1.023567,7.094023,2.678475
dish_1551236712,32.43,69.0,0.069,8.28,0.621
dish_1568305257,837.147766,420.0,65.496887,9.31325,52.072983
dish_1550712024,29.92,88.0,0.616,5.984,0.616
dish_1551139367,77.75,105.0,1.863,9.42,6.735
dish_1568314823,144.0,90.0,13.500001,8.1,1.8
dish_1565119464,504.065033,223.0,23.109737,44.41399,28.041883
dish_1565725047,77.659996,110.0,4.84,9.372,0.946
dish_1551236011,281.720001,307.0,4.474,21.995998,38.446003
dish_1550705623,20.4,51.0,0.102,4.59,1.02
dish_1559841163,357.043518,335.0,18.222002,27.539,21.153002
dish_1563568338,631.706665,371.0,29.600521,57.599113,38.704674
dish_1551395512,25.5,51.0,0.051,6.63,0.255
dish_1563468299,210.350006,385.0,4.129,35.584,10.898
dish_1558027001,20.400002,68.0,0.068,5.168,0.408
dish_1551568059,35.669998,123.0,0.369,11.070001,1.353
dish_1565033265,1324.084961,625.0,106.343002,19.202002,76.664001
dish_1551323574,61.880001,91.0,1.274,10.92,2.184
dish_1551491271,43.5,30.0,1.8,0.45,6.3
dish_1563475921,244.343323,348.0,6.723852,27.165054,19.799664
dish_1561665024,100.570984,121.0,6.984664,8.948565,2.141329
dish_1550710448,48.91,67.0,3.216,1.273,5.36
dish_1563813308,224.982895,76.0,16.446194,3.901661,15.332276
dish_1551235600,83.659996,178.0,0.178,21.359999,1.602
dish_1561062555,47.093922,32.0,3.147569,4.405365,1.027732
dish_1558723414,51.988998,49.0,1.176,10.78,1.519
dish_1562691674,376.976868,435.0,11.33825,42.573318,26.482393
dish_1566591080,909.629578,549.0,43.513371,19.378721,103.567314
dish_1550862648,16.119999,31.0,0.062,4.34,0.093
dish_1564082462,905.354492,609.0,32.071827,40.532917,108.82251
dish_1562602860,165.182281,258.0,5.622155,20.834251,10.206213
dish_1568217372,508.916168,244.0,41.079079,6.503528,27.115328
dish_1561739954,276.119995,225.0,16.059999,16.556,15.39
dish_1558638983,59.416,56.0,1.344,12.32,1.736
dish_1558631825,118.832001,112.0,2.688,24.639999,3.472
dish_1564689108,203.66246,159.0,15.866496,13.156699,4.929469
dish_1563216440,403.786346,352.0,6.472354,39.857891,44.691349
dish_1559240908,60.16,128.0,0.128,15.36,1.152
dish_1563395480,370.521423,329.0,14.106581,31.81958,29.161797
dish_1559235815,352.39502,268.0,16.284,31.334002,19.628799
dish_1565640272,377.820007,405.0,13.907999,49.740002,16.559999
dish_1565898158,240.425751,194.0,10.293161,10.249402,25.324493
dish_1564415077,152.040009,189.0,6.426,1.827,18.9
dish_1551237348,158.569992,271.0,2.242,28.485001,9.334
dish_1565022062,234.606583,366.0,2.846122,30.903877,19.271049
dish_1558719994,768.873047,133.0,65.834999,30.191,29.792002
dish_1562960520,422.399261,303.0,19.659971,31.715603,29.545202
dish_1550769948,200.12999,192.0,9.096,19.914,9.93
dish_1560441270,24.540001,46.0,0.063,5.304,0.835
dish_1561663855,179.138412,139.0,7.395212,14.409589,15.28675
dish_1563389199,390.254456,284.0,8.273479,70.210716,16.497627
dish_1566488928,103.048294,147.0,2.219561,19.982441,1.327024
dish_1558031302,56.98,74.0,0.074,12.58,1.48
dish_1558723926,19.26,107.0,0.214,4.173,0.963
dish_1563392128,169.934235,162.0,18.81292,6.487778,21.133221
dish_1550711094,106.5,102.0,4.466001,8.28,8.52
dish_1563910171,571.183777,423.0,27.285721,24.938656,53.608376
dish_1560368464,349.449951,275.0,18.062435,16.807095,29.051191
dish_1550771648,307.040009,108.0,24.280001,18.439999,8.36
dish_1551392590,5.06,23.0,0.069,0.759,0.713
dish_1560368990,211.92131,119.0,9.981677,14.39169,14.986163
dish_1562958563,130.839996,68.0,9.767,2.686,8.158
dish_1561579617,130.172348,304.0,4.552824,21.115883,4.427353
dish_1566333167,344.544495,140.0,14.501362,31.633934,20.294445
dish_1565033139,193.649994,274.0,14.177,17.355999,4.434
dish_1563551194,471.643555,400.0,14.045855,57.670921,27.842804
dish_1563464480,229.490005,213.0,10.918,25.838001,8.302
dish_1551563824,70.949997,43.0,1.548,0.0,13.33
dish_1567020054,122.001411,145.0,11.540041,7.937456,14.210079
dish_1568649387,163.858185,192.0,5.302399,28.488777,2.512788
dish_1565370004,570.884766,370.0,41.655426,11.23975,36.877651
dish_1550790511,69.689995,113.0,6.803999,5.466,10.255
dish_1566499633,161.386429,139.0,14.183504,8.426495,3.023964
dish_1559849412,352.641022,61.0,30.195,13.847,13.664001
dish_1551139606,59.099998,150.0,0.362,13.14,3.088
dish_1558719336,24.25,97.0,0.291,4.85,1.746
dish_1551379331,35.639999,36.0,0.108,0.072,8.639999
dish_1562602657,610.365173,236.0,44.069649,31.015892,24.324261
dish_1558116201,313.585999,91.0,24.843,3.822,17.563
dish_1559668314,551.546021,300.0,38.153999,32.832001,21.035
dish_1563551432,665.332642,389.0,48.805744,14.590725,41.403397
dish_1567711272,188.860001,71.0,6.887,23.43,7.81
dish_1557861697,13.144,53.0,0.106,3.127,0.53
dish_1558721484,11.160001,62.0,0.124,2.418,0.558
dish_1565379251,32.936092,67.0,0.792689,6.608891,0.59528
dish_1551565289,88.229996,172.0,5.615,10.167,2.47
dish_1566242273,550.009949,521.0,11.134001,15.791,92.493996
dish_1563306392,477.465118,288.0,13.979971,5.710499,77.775475
dish_1551374332,181.779984,221.0,0.789,41.790001,3.259
dish_1559843335,25.410002,77.0,0.231,6.16,0.539
dish_1550777469,96.480003,18.0,6.3,9.539999,1.26
dish_1558549214,239.190002,361.0,0.722,53.875004,5.712
dish_1562775488,91.239998,145.0,0.158,12.433001,8.56
dish_1551317998,28.67,47.0,0.235,7.05,0.517
dish_1562787956,26.84,61.0,1.281,2.623,1.952
dish_1562775212,92.480003,136.0,1.904,16.32,3.264
dish_1560801773,13.5,54.0,0.162,2.7,0.972
dish_1559238435,115.544006,202.0,0.202,30.703999,0.808
dish_1562008813,214.593262,225.0,15.571491,15.597978,6.029664
dish_1551391710,102.789993,19.0,7.98,0.266,7.03
dish_1568061202,256.551605,334.0,7.670484,39.151718,9.440392
dish_1560445069,94.527,243.0,0.243,22.112999,1.215
dish_1566502573,821.510193,487.0,43.20623,60.718185,51.18927
dish_1563900172,236.636597,255.0,12.947122,18.36488,11.786048
dish_1562785132,211.542679,192.0,24.6008,10.392798,28.955555
dish_1565383097,479.248993,430.0,25.929001,13.332999,50.022999
dish_1559233102,183.520004,124.0,13.64,1.984,12.400001
dish_1560357427,93.749001,241.0,0.241,21.931,1.205
dish_1568401261,530.393372,443.0,26.350721,34.582966,39.131962
dish_1558031628,31.280001,92.0,0.184,7.36,0.736
dish_1558029148,38.880001,108.0,0.108,9.72,0.54
dish_1558461431,1.15,5.0,0.02,0.18,0.145
dish_1562790824,437.071686,368.0,49.829514,19.273878,49.859921
dish_1551567848,72.449997,63.0,6.741,3.969,0.504
dish_1558718610,113.527,107.0,2.568,23.539999,3.317
dish_1562959129,412.873596,293.0,22.177427,47.374996,24.672005
dish_1560975517,42.389999,99.0,1.858,4.608,3.064
dish_1558641075,12.42,69.0,0.138,2.691,0.621
dish_1560455158,69.12085,55.0,5.892522,3.531324,1.433316
dish_1565972715,657.545837,510.0,46.845226,15.662046,43.166805
dish_1558639787,24.75,99.0,0.297,4.95,1.782
dish_1560203424,451.753998,138.0,22.271999,50.211998,14.587999
dish_1558724912,30.75,75.0,0.15,7.5,0.675
dish_1563913675,282.693146,228.0,12.514251,31.848915,12.170398
dish_1567542876,495.807739,260.0,21.002985,45.708035,29.519905
dish_1561753075,945.670715,668.0,47.436813,46.316841,82.687485
dish_1559244305,113.066399,64.0,7.04521,9.832837,3.483331
dish_1561577573,755.432922,346.0,40.638695,24.98456,66.063805
dish_1563550614,132.824387,205.0,1.753415,11.551586,15.085366
dish_1550776957,213.109985,100.0,10.728,24.049999,7.226
dish_1565204891,302.886444,314.0,9.08052,40.929695,16.297201
dish_1551395800,90.68,118.0,0.212,20.57,1.964
dish_1558115011,115.620003,20.0,9.9,4.54,4.48
dish_1562776497,291.832458,292.0,13.205418,32.771591,11.634132
dish_1559675234,36.970001,120.0,0.271,8.135,2.075
dish_1565638323,467.824677,274.0,20.744896,29.2488,38.302158
dish_1550706177,29.58,87.0,0.609,5.916,0.609
dish_1550773394,20.0,50.0,0.1,4.5,1.0
dish_1561405836,82.429001,31.0,2.914,10.385,3.472
dish_1565898659,576.704529,537.0,11.448723,16.11227,97.243431
dish_1562169818,346.819672,275.0,22.768761,16.997473,19.754049
dish_1559934679,160.845459,146.0,7.257577,4.518153,18.901001
dish_1562698276,434.58316,307.0,16.904676,35.99662,31.992001
dish_1558718051,24.25,97.0,0.291,4.85,1.746
dish_1560368764,207.098907,270.0,15.165788,14.017039,7.992478
dish_1563563317,345.84198,252.0,22.701002,8.312,28.483
dish_1565895966,214.544357,287.0,9.93185,16.800755,16.543627
dish_1566933226,245.449509,171.0,7.784025,19.447062,22.552277
dish_1550712079,73.239998,210.0,0.986,15.141,3.254
dish_1558458737,41.599998,32.0,0.096,8.96,0.864
dish_1561392593,354.044922,325.0,24.260466,19.139467,16.3906
dish_1566416421,313.741882,367.0,18.395054,36.646526,12.292887
dish_1562009120,95.610138,146.0,5.247729,6.257764,9.354047
dish_1560444869,14.040001,39.0,0.039,3.51,0.195
dish_1550789255,76.889999,156.0,5.904,8.178,8.924
dish_1562872365,9.879999,76.0,0.152,1.672,1.14
dish_1564773903,316.827545,336.0,16.086779,25.091196,19.580328
dish_1563910137,131.283218,141.0,8.903819,11.986854,2.529557
dish_1561661347,50.669998,132.0,1.632,7.215,3.426
dish_1558721726,74.360001,143.0,0.286,20.02,0.429
dish_1566931586,379.380005,389.0,15.281001,15.525999,46.593998
dish_1551493723,179.192001,52.0,14.196,2.184,10.036
dish_1563908923,49.279999,112.0,2.352,4.816,3.584
dish_1563552016,493.589081,174.0,19.477127,69.953438,10.739063
dish_1562784307,158.518127,157.0,5.112942,24.925295,5.678117
dish_1551304608,269.530029,223.0,17.083,19.021999,11.917999
dish_1551318068,31.679998,33.0,0.495,6.93,1.122
dish_1564761388,54.599998,105.0,0.21,0.735,10.5
dish_1561576295,249.067139,232.0,16.084234,23.931339,4.035298
dish_1551399484,275.179993,92.0,18.17,25.939999,6.84
dish_1562876618,114.336998,43.0,4.042,14.405001,4.816
dish_1558722247,604.616028,343.0,43.181,46.771999,21.49
dish_1551304349,30.25,121.0,0.363,6.05,2.178
dish_1565640427,195.761993,42.0,12.096,20.916,2.604
dish_1559841808,73.110001,96.0,0.57,17.379999,1.29
dish_1551139535,13.6,34.0,0.068,3.06,0.68
dish_1551399031,48.239998,12.0,3.96,0.156,3.0
dish_1560788349,78.925995,134.0,0.536,4.824,13.400001
dish_1566847431,101.240509,90.0,1.923067,17.232075,3.76984
dish_1565726812,36.209755,65.0,1.839024,4.439024,1.521951
dish_1550860444,207.320007,231.0,5.252,32.472,8.032
dish_1561061687,508.347748,408.0,24.082794,32.991673,41.733879
dish_1551305209,128.740005,192.0,2.452,23.900999,5.175
dish_1563996279,98.490021,278.0,1.893741,19.73682,3.910173
dish_1558115448,64.860001,94.0,0.188,16.92,0.658
dish_1559843030,25.410002,77.0,0.231,6.16,0.539
dish_1551487288,30.66,42.0,2.016,0.798,3.36
dish_1566246902,236.650986,89.0,8.366,29.815001,9.968
dish_1550710207,150.149994,91.0,3.276,0.0,28.210001
dish_1564073860,492.309998,91.0,38.219997,1.274,33.670002
dish_1561739973,295.369995,280.0,16.279999,20.406,16.709999
dish_1565811091,504.400024,371.0,17.632,9.06,74.731003
dish_1559240441,19.470001,59.0,0.177,4.72,0.413
dish_1550790252,45.899998,51.0,6.63,0.0,9.384
dish_1565984434,319.892303,430.0,12.747005,36.362114,17.977343
dish_1563811686,319.428375,331.0,17.312544,25.879768,16.288153
dish_1561060925,93.914848,156.0,4.284307,9.30445,8.246765
dish_1561663817,95.495369,86.0,4.993594,12.891619,2.099187
dish_1566922978,124.32,84.0,9.24,1.344,8.400001
dish_1551228830,40.02,29.0,0.609,7.25,1.305
dish_1557861216,0.0,1.0,0.0,0.0,0.0
dish_1566316587,646.768066,311.0,50.825043,20.937225,26.908691
dish_1560367715,597.531189,305.0,26.680105,40.813663,44.518318
dish_1561575613,86.411438,70.0,8.211153,2.81841,1.679894
dish_1558639266,30.768999,29.0,0.696,6.38,0.899
dish_1551567650,4.896,24.0,0.024,0.936,0.528
dish_1566245437,566.311646,462.0,31.866903,15.820466,53.885963
dish_1551322804,88.620003,178.0,0.784,22.469999,2.582
dish_1558723537,14.5,58.0,0.174,2.9,1.044
dish_1551139675,44.099998,49.0,6.37,0.0,9.016
dish_1566317742,154.720001,254.0,2.908,28.464001,5.376
dish_1565195493,406.998535,291.0,21.026194,20.198807,30.984879
dish_1550713388,77.549995,47.0,1.692,0.0,14.57
dish_1559235690,172.604996,111.0,11.655,1.332,13.875
dish_1560529844,91.68,168.0,0.3,22.296,1.278
dish_1563220987,224.987503,110.0,12.479591,4.072388,22.457699
dish_1563913709,337.888184,263.0,13.28425,42.313908,13.815399
dish_1551222638,39.240002,18.0,0.522,8.099999,1.08
dish_1563305883,83.052505,77.0,7.017997,4.055908,2.14745
dish_1550706583,249.149994,151.0,5.436,0.0,46.810001
dish_1558639335,60.32,116.0,0.232,16.24,0.348
dish_1560454488,48.244003,42.0,4.500726,1.893843,0.63549
dish_1559933793,56.676903,111.0,1.420199,9.842957,3.716384
dish_1563382953,249.919525,170.0,16.234716,12.476491,12.876415
dish_1550873264,97.349998,59.0,2.124,0.0,18.290001
dish_1564159636,487.873688,134.0,37.411686,5.267181,31.4161
dish_1563984140,245.439987,472.0,0.944,3.304,47.200001
dish_1550710342,182.169998,158.0,3.366,8.179999,28.638
dish_1558724574,50.740002,118.0,0.354,10.620001,4.012
dish_1558718009,25.84,76.0,0.152,6.08,0.608
dish_1551379566,144.720001,36.0,11.88,0.468,9.0
dish_1551137348,202.639999,121.0,2.62,34.856003,9.404
dish_1562873544,193.61171,201.0,11.637623,18.182364,13.776482
dish_1562945823,62.19532,99.0,2.125645,10.413193,1.383
dish_1558725403,289.050018,50.0,24.75,11.35,11.200001
dish_1564516366,31.049999,27.0,2.889,1.701,0.216
dish_1561752996,848.655762,415.0,42.90057,36.336651,76.788078
dish_1558381032,115.620003,20.0,9.9,4.54,4.48
dish_1562774099,51.993542,40.0,2.787097,6.156128,1.28
dish_1558549150,45.540001,66.0,0.132,11.88,0.462
dish_1550710715,82.274002,31.0,1.302,13.113,4.185
dish_1551303476,224.75,177.0,0.738,32.790001,20.697001
dish_1550776767,81.149994,15.0,6.3,0.21,5.55
dish_1550712524,218.520004,36.0,19.440001,7.56,7.2
dish_1562958629,208.970001,172.0,10.575,18.126001,13.015
dish_1558725253,33.950001,97.0,0.388,6.79,2.328
dish_1565036821,325.539917,134.0,14.517972,25.940332,21.035995
dish_1551141628,63.48,46.0,0.966,11.5,2.07
dish_1551123986,15.98,47.0,0.329,3.196,0.329
dish_1551235983,194.699997,118.0,4.248,0.0,36.580002
dish_1550788827,36.0,40.0,5.2,0.0,7.36
dish_1551563627,76.48999,106.0,2.208,11.688,4.496
dish_1550862840,16.5,33.0,0.033,4.29,0.165
dish_1558628921,24.6,60.0,0.12,6.0,0.54
dish_1558032156,140.660004,26.0,10.92,0.364,9.62
dish_1560444892,39.540001,90.0,0.09,10.139999,0.45
dish_1561062320,307.868378,202.0,11.824565,28.927616,20.03928
dish_1560798960,493.720886,429.0,22.37495,53.315128,24.172991
dish_1561662814,23.243509,20.0,1.875044,1.529342,0.350089
dish_1551303866,171.980011,88.0,10.476,13.698,7.598001
dish_1560366438,71.93322,136.0,4.986071,6.105719,2.5801
dish_1551565379,40.600002,28.0,1.68,0.42,5.88
dish_1565987201,560.658997,522.0,27.593,16.017,63.875999
dish_1563393148,27.730003,118.0,0.432667,5.152667,1.730667
dish_1562699570,24.42,22.0,0.198,5.06,0.572
dish_1550862580,32.93,37.0,0.111,8.51,0.407
dish_1566931140,126.700005,199.0,8.976,12.23,3.696
dish_1560360112,401.494019,248.0,27.991001,13.674002,23.033001
dish_1566501473,413.942017,371.0,14.89,18.319,52.967999
dish_1551141710,54.899998,61.0,7.93,0.0,11.224
dish_1551567573,9485.81543,159.0,875.541016,506.078979,87.785004
dish_1551236949,43.860001,102.0,0.306,9.18,3.468
dish_1560368738,174.248901,225.0,13.005788,13.16204,4.392478
dish_1550705370,122.5,49.0,7.35,0.0,12.74
dish_1558549413,682.15802,118.0,58.41,26.785999,26.432001
dish_1558544870,198.354996,170.0,11.016,10.616,13.344
dish_1550705535,18.75,75.0,0.225,3.75,1.35
dish_1562170163,53.5,107.0,0.107,13.91,0.535
dish_1562611522,132.949997,50.0,4.7,16.75,5.6
dish_1561574368,22.0,50.0,1.05,2.15,1.6
dish_1562614158,453.931671,301.0,30.739628,14.829063,31.99674
dish_1551568240,128.259995,267.0,1.69,30.049999,3.742
dish_1551486158,41.399998,36.0,3.852,2.268,0.288
