dish_id,total_carb
dish_1559841163,27.539
dish_1563568338,57.599113
dish_1551395512,6.63
dish_1563468299,35.584
dish_1558027001,5.168
dish_1551568059,11.070001
dish_1565033265,19.202002
dish_1551323574,10.92
dish_1551491271,0.45
dish_1563475921,27.165054
dish_1561665024,8.948565
dish_1550710448,1.273
dish_1563813308,3.901661
dish_1561062555,4.405365
dish_1558723414,10.78
dish_1562691674,42.573318
dish_1566591080,19.378721
dish_1550862648,4.34
dish_1562602860,20.834251
dish_1568217372,6.503528
dish_1561739954,16.556
dish_1558638983,12.32
dish_1558631825,24.639999
dish_1563216440,39.857891
dish_1559240908,15.36
dish_1559235815,31.334002
dish_1565640272,49.740002
dish_1564415077,1.827
dish_1551237348,28.485001
dish_1565022062,30.903877
dish_1562960520,31.715603
dish_1560441270,5.304
dish_1563389199,70.210716
dish_1566488928,19.982441
dish_1558723926,4.173
dish_1563392128,6.487778
dish_1550711094,8.28
dish_1550771648,18.439999
dish_1551392590,0.759
dish_1562958563,2.686
dish_1561579617,21.115883
dish_1566333167,31.633934
dish_1565033139,17.355999
dish_1563464480,25.838001
dish_1551563824,0.0
dish_1567020054,7.937456
dish_1568649387,28.488777
dish_1565370004,11.23975
dish_1550790511,5.466
dish_1566499633,8.426495
dish_1551139606,13.14
dish_1558719336,4.85
dish_1551379331,0.072
dish_1562602657,31.015892
dish_1558116201,3.822
dish_1559668314,32.832001
dish_1563551432,14.590725
dish_1567711272,23.43
dish_1557861697,3.127
dish_1558721484,2.418
dish_1565379251,6.608891
dish_1551565289,10.167
dish_1566242273,15.791
dish_1563306392,5.710499
dish_1551374332,41.790001
dish_1559843335,6.16
dish_1550777469,9.539999
dish_1558549214,53.875004
dish_1562775488,12.433001
dish_1551317998,7.05
dish_1562787956,2.623
dish_1562775212,16.32
dish_1559238435,30.703999
dish_1568061202,39.151718
dish_1560445069,22.112999
dish_1563900172,18.36488
dish_1562785132,10.392798
dish_1565383097,13.332999
dish_1559233102,1.984
dish_1560357427,21.931
dish_1558031628,7.36
dish_1558029148,9.72
dish_1562959129,47.374996
dish_1558641075,2.691
dish_1560455158,3.531324
dish_1565972715,15.662046
dish_1558724912,7.5
dish_1563913675,31.848915
dish_1561753075,46.316841
dish_1559244305,9.832837
dish_1561577573,24.98456
dish_1563550614,11.551586
dish_1550776957,24.049999
dish_1565204891,40.929695
dish_1551395800,20.57
dish_1558115011,4.54
dish_1559675234,8.135
dish_1565638323,29.2488
dish_1550706177,5.916
dish_1550773394,4.5
dish_1561405836,10.385
dish_1562169818,16.997473
dish_1559934679,4.518153
dish_1562698276,35.99662
dish_1558718051,4.85
dish_1560368764,14.017039
dish_1563563317,8.312
dish_1565895966,16.800755
dish_1566933226,19.447062
dish_1550712079,15.141
dish_1558458737,8.96
dish_1561392593,19.139467
dish_1566416421,36.646526
dish_1562009120,6.257764
dish_1550789255,8.178
dish_1562872365,1.672
dish_1563910137,11.986854
dish_1558721726,20.02
dish_1566931586,15.525999
dish_1551493723,2.184
dish_1563908923,4.816
dish_1563552016,69.953438
dish_1562784307,24.925295
dish_1551304608,19.021999
dish_1551318068,6.93
dish_1564761388,0.735
dish_1561576295,23.931339
dish_1551399484,25.939999
dish_1562876618,14.405001
dish_1551304349,6.05
dish_1565640427,20.916
dish_1559841808,17.379999
dish_1551139535,3.06
dish_1551399031,0.156
dish_1560788349,4.824
dish_1566847431,17.232075
dish_1565726812,4.439024
dish_1551305209,23.900999
dish_1563996279,19.73682
dish_1558115448,16.92
dish_1559843030,6.16
dish_1551487288,0.798
dish_1566246902,29.815001
dish_1550710207,0.0
dish_1564073860,1.274
dish_1561739973,20.406
dish_1559240441,4.72
dish_1550790252,0.0
dish_1565984434,36.362114
dish_1563811686,25.879768
dish_1561060925,9.30445
dish_1561663817,12.891619
dish_1566922978,1.344
dish_1551228830,7.25
dish_1566316587,20.937225
dish_1560367715,40.813663
dish_1561575613,2.81841
dish_1558639266,6.38
dish_1551567650,0.936
dish_1566245437,15.820466
dish_1551322804,22.469999
dish_1558723537,2.9
dish_1551139675,0.0
dish_1566317742,28.464001
dish_1565195493,20.198807
dish_1550713388,0.0
dish_1559235690,1.332
dish_1560529844,22.296
dish_1563913709,42.313908
dish_1551222638,8.099999
dish_1563305883,4.055908
dish_1558639335,16.24
dish_1560454488,1.893843
dish_1559933793,9.842957
dish_1563382953,12.476491
dish_1550873264,0.0
dish_1564159636,5.267181
dish_1550710342,8.179999
dish_1558724574,10.620001
dish_1558718009,6.08
dish_1551379566,0.468
dish_1551137348,34.856003
dish_1562873544,18.182364
dish_1562945823,10.413193
dish_1558725403,11.35
dish_1564516366,1.701
dish_1561752996,36.336651
dish_1558381032,4.54
dish_1558549150,11.88
dish_1550710715,13.113
dish_1551303476,32.790001
dish_1550776767,0.21
dish_1550712524,7.56
dish_1562958629,18.126001
dish_1558725253,6.79
dish_1565036821,25.940332
dish_1551141628,11.5
dish_1551123986,3.196
dish_1551235983,0.0
dish_1550788827,0.0
dish_1551563627,11.688
dish_1550862840,4.29
dish_1558628921,6.0
dish_1558032156,0.364
dish_1551303866,13.698
dish_1560366438,6.105719
dish_1551565379,0.42
dish_1565987201,16.017
dish_1563393148,5.152667
dish_1562699570,5.06
dish_1550862580,8.51
dish_1566931140,12.23
dish_1560360112,13.674002
dish_1566501473,18.319
dish_1551141710,0.0
dish_1551236949,9.18
dish_1560368738,13.16204
dish_1558544870,10.616
dish_1550705535,3.75
dish_1562170163,13.91
dish_1562611522,16.75
dish_1562614158,14.829063
dish_1551568240,30.049999
dish_1551486158,2.268
dish_1563479568,8.616775
dish_1562871731,2.882
dish_1562007789,49.535133
dish_1567537352,2.561213
dish_1550788264,21.42
dish_1563824279,6.138
dish_1551224138,4.95
dish_1568400935,2.226
dish_1558635994,24.480001
dish_1551136683,0.182
dish_1551313822,5.67
dish_1562611853,25.89777
dish_1566592456,5.418
dish_1558720427,47.360001
dish_1562874250,17.784489
dish_1559844683,31.370003
dish_1563305354,12.095403
dish_1561739805,101.256134
dish_1558641954,3.978
dish_1564588688,1.806
dish_1551374560,23.23
dish_1550712805,10.08
dish_1563205953,30.851999
dish_1551233210,14.752
dish_1567526738,3.031
dish_1568048018,8.263098
dish_1551563429,6.766
dish_1561739930,14.22
dish_1551375366,0.08
dish_1565898489,2.52
dish_1562783691,14.462999
dish_1559590099,1.521
dish_1565023128,4.924903
dish_1559158354,4.2
dish_1562183151,9.697037
dish_1567525637,3.077018
dish_1550769483,0.294
dish_1551566687,7.56
dish_1560442226,20.58
dish_1551379524,5.44
dish_1551381990,129.636002
dish_1551389506,13.02
dish_1550712681,1.908
dish_1563909919,3.48075
dish_1564168695,0.0
dish_1551381103,27.549
dish_1551237046,9.18
dish_1551225948,1.5
dish_1560360102,13.674002
dish_1558381742,4.284
dish_1550791644,15.82
dish_1559844479,21.34
dish_1551376575,27.02
dish_1561060787,8.06945
dish_1566331801,11.249237
dish_1558463429,10.98
dish_1550863381,45.09
dish_1551565495,8.610001
dish_1562698209,4.006618
dish_1561576026,22.053612
dish_1564073677,9.771708
dish_1562788010,11.571823
dish_1565109606,16.507318
dish_1563216739,36.524776
dish_1561575661,7.507637
dish_1551228582,0.0
dish_1562702853,5.334673
dish_1568056046,13.921
dish_1558639089,5.04
dish_1565627751,12.643903
dish_1551390051,15.126999
dish_1563221495,29.243366
dish_1562861174,3.740394
dish_1567628099,13.796238
dish_1565984345,20.663086
dish_1559842326,18.921
dish_1565021104,25.591002
dish_1551492534,0.957
dish_1563389042,6.115691
dish_1561997933,12.21
dish_1567785165,11.47429
dish_1551375848,7.77
dish_1556575558,10.618
dish_1565023157,8.572904
dish_1551122662,27.610001
dish_1562872223,10.477843
dish_1551567604,506.07901
dish_1564083459,0.096
dish_1551378719,12.295
dish_1558026756,13.486
dish_1558637865,14.74
dish_1561752535,21.717422
dish_1562173247,17.879999
dish_1563997327,6.455922
dish_1551303912,12.0
dish_1566934120,9.686487
dish_1550706945,20.059999
dish_1551236827,9.27
dish_1563910639,20.529985
dish_1565119418,40.870003
dish_1563897338,7.04
dish_1562603626,28.675268
dish_1561578623,13.109113
dish_1565021640,20.698196
dish_1560442258,21.112
dish_1564171935,28.962877
dish_1566835603,11.590244
dish_1565724087,4.755569
dish_1562602918,34.749252
dish_1551227050,18.18
dish_1551307325,1.152
dish_1550792595,12.24
dish_1559589873,1.782
dish_1564168739,15.394
dish_1551304854,16.08
dish_1564432094,20.16
dish_1562950057,26.856001
dish_1551225793,23.455
dish_1551379605,22.007999
dish_1551142128,11.309999
dish_1562086067,42.812
dish_1560887408,40.260002
dish_1561663068,35.715992
dish_1565808975,7.926
dish_1562170356,55.529999
dish_1568056019,8.121
dish_1558378553,15.436
dish_1560543682,15.48
dish_1566333194,36.067131
dish_1562702813,2.070021
dish_1558550127,4.994
dish_1559239753,5.326569
dish_1550777319,6.0
dish_1551376892,9.75
dish_1561492161,1.81607
dish_1558628515,7.84
dish_1550790347,4.3
dish_1551491020,0.779
dish_1562777000,2.112
dish_1563220109,22.408951
dish_1562096542,3.123378
dish_1562860073,20.958
dish_1562963612,21.632
dish_1550710402,3.75
dish_1562961588,22.110001
dish_1563823860,13.146437
dish_1558725786,23.539999
dish_1551236775,9.27
dish_1550876892,3.971
dish_1565107171,44.091949
dish_1563913627,26.731916
dish_1561753275,22.34663
dish_1558640418,3.5
dish_1550875968,3.28
dish_1551139831,7.56
dish_1564170071,3.15
dish_1559844113,49.254997
dish_1561667430,18.32616
dish_1560799647,39.587593
dish_1568313575,5.93
dish_1551377177,10.209
dish_1550771387,5.374
dish_1562790321,39.829521
dish_1559845767,58.011997
dish_1565032680,20.304913
dish_1561134128,14.556
dish_1560889032,10.744461
dish_1566501352,12.261001
dish_1558550218,32.433998
dish_1551373813,28.936001
dish_1563303350,8.355268
dish_1560802764,3.44357
dish_1561666849,47.585873
dish_1563305913,5.045908
dish_1562963006,9.891858
dish_1550795361,12.07
dish_1563219035,20.186846
dish_1551566208,1.764
dish_1562603598,21.785269
dish_1551124116,11.892
dish_1551233180,0.54
dish_1561753623,5.45206
dish_1551314360,16.119999
dish_1551313896,28.860001
dish_1567106693,18.302
dish_1565725244,28.073997
dish_1564686657,35.174999
dish_1561747075,31.982321
dish_1558639630,24.200001
dish_1550873788,3.078
dish_1558722068,7.037
dish_1565196260,1.001
dish_1561749857,21.602934
dish_1564761457,30.389
dish_1562872150,1.122
dish_1560454539,17.543842
dish_1561578373,17.891659
dish_1562873224,16.689787
dish_1562963033,22.311859
dish_1550796686,8.4
dish_1551389387,1.62
dish_1551303644,7.95
dish_1551390758,12.15
dish_1551134053,1.392
dish_1551124322,0.742
dish_1551306647,21.153999
dish_1563391681,5.759966
dish_1559934645,2.408
dish_1562615324,13.705867
dish_1550795423,3.78
dish_1563304261,3.101745
dish_1563823894,18.219273
dish_1563378660,49.972
dish_1558629644,0.795
dish_1550874640,7.82
dish_1550861124,60.200001
dish_1559675178,6.335
dish_1550789814,22.960001
dish_1562611620,17.088623
dish_1563205927,15.642001
dish_1562775510,16.423389
dish_1563378406,66.95768
dish_1562872914,5.087451
dish_1551236550,48.341
dish_1562096401,11.065385
dish_1561578344,15.91366
dish_1563566810,51.255371
dish_1565724196,5.6
dish_1565808998,16.746
dish_1562873495,16.172001
dish_1562614895,10.36
dish_1568313487,2.597
dish_1568143612,24.69297
dish_1563217736,4.69
dish_1558723847,21.792
dish_1566844850,30.58173
dish_1550706037,29.040001
dish_1560367733,54.923664
dish_1565021054,25.220001
dish_1560357267,6.128
dish_1561575327,25.363405
dish_1551566130,18.605999
dish_1564686702,36.75
dish_1550710917,3.6
dish_1563827132,32.756668
dish_1551374463,2.73
dish_1563309353,15.838592
dish_1561752481,15.411839
dish_1565725009,2.772
dish_1558459994,6.66
dish_1551233610,21.650002
dish_1551567230,13.473
dish_1561654707,2.16
dish_1550876969,3.971
dish_1562096512,1.373378
dish_1564518488,22.05954
dish_1565118029,34.517002
dish_1566934430,37.582497
dish_1551233150,13.75
dish_1565117934,0.0
dish_1558114569,7.02
dish_1559678146,13.254406
dish_1551377737,9.539999
dish_1551323433,5.76
dish_1560441487,10.04
dish_1560874726,28.462002
dish_1563221519,32.183365
dish_1562605315,2.352
dish_1561752680,58.625
dish_1550788591,26.720001
dish_1568665012,15.197391
dish_1551392701,8.582
dish_1568143572,22.03297
dish_1568313676,8.9
dish_1558460061,10.620001
dish_1550796731,4.96
dish_1558468401,4.23
dish_1551377473,8.548
dish_1568320427,40.598091
dish_1563550584,1.015
dish_1560798785,44.389
dish_1565379377,32.930637
dish_1565725188,25.107
dish_1551222188,2.2
dish_1563910530,9.828672
dish_1565725123,19.185001
dish_1566413445,16.335999
dish_1558637698,2.45
dish_1563555605,39.622002
dish_1559244598,33.149998
dish_1551142589,23.194998
dish_1551233573,9.1
dish_1561666794,16.727001
dish_1551378449,25.874001
dish_1551229028,12.19
dish_1566488981,22.355442
dish_1566317711,21.84
dish_1562010048,5.682851
dish_1560368944,2.14122
dish_1551237607,9.75
dish_1551377674,9.94
dish_1563393366,7.559166
dish_1564160161,47.530003
dish_1565207896,18.665737
dish_1560976044,26.167
dish_1560788338,4.356
dish_1561575688,31.62764
dish_1551228876,1.7
dish_1550710542,9.103001
dish_1568060697,12.233
dish_1558115364,26.504
dish_1565810146,1.861971
dish_1557853154,4.56
dish_1563811662,12.357816
dish_1565727851,13.028001
dish_1550791701,4.62
dish_1551323969,14.752001
dish_1565021011,23.871
dish_1558720396,19.799999
dish_1561996836,13.322927
dish_1563468199,13.91
dish_1564691352,15.62
dish_1560444724,28.49
dish_1561739623,33.599998
dish_1558463690,30.032001
dish_1563479526,5.867841
dish_1564588719,6.366
dish_1563811463,22.557051
dish_1550711845,6.03
dish_1562183125,5.217036
dish_1551226409,5.13
dish_1563464651,46.645
dish_1558381860,5.31
dish_1558462106,6.66
dish_1551313782,12.150001
dish_1562945879,34.353195
dish_1566332040,2.34
dish_1563222775,16.359587
dish_1551135179,23.265001
dish_1550770866,11.199999
dish_1550874918,0.0
dish_1562184663,5.702527
dish_1563898722,9.870001
dish_1568315988,1.311
dish_1551139874,16.443001
dish_1551233375,3.85
dish_1551142001,7.274
dish_1557862384,3.85
dish_1551122614,7.02
dish_1551378996,26.019001
dish_1558723073,3.51
dish_1551567805,11.067
dish_1551490962,2.646
dish_1551487117,1.8
dish_1550713174,19.782
dish_1551135896,5.22
dish_1563309189,2.079
dish_1551390265,0.0
dish_1563827086,23.585001
dish_1551136891,8.84
dish_1551314855,7.56
dish_1568666184,5.51
dish_1567628069,10.049737
dish_1551493749,12.198
dish_1563555072,1.792
dish_1564518512,26.596989
dish_1559751775,30.107998
dish_1564685450,38.998962
dish_1550874756,10.540001
dish_1561580659,16.297264
dish_1551381496,16.177999
dish_1551226013,5.76
dish_1558109907,11.34
dish_1565023182,9.244903
dish_1550780717,12.41
dish_1563822663,24.232965
dish_1551233248,14.752
dish_1561753649,6.39206
dish_1566501126,17.909
dish_1551236657,0.99
dish_1566317801,56.984001
dish_1550706891,1.632
dish_1562173175,13.684191
dish_1551567775,11.066999
dish_1558027057,19.110001
dish_1568400967,7.196
dish_1565726887,15.960674
dish_1551226475,18.01
dish_1566590536,5.030649
dish_1564516397,2.949
dish_1559841908,45.571999
dish_1563309398,23.338593
dish_1551490433,1.326
dish_1550711187,13.940001
dish_1551232782,7.755001
dish_1560370114,1.521
dish_1559320019,30.732002
dish_1560887457,48.705952
dish_1558724633,6.58
dish_1564170474,7.336
dish_1567625343,5.547
dish_1565726848,6.780674
dish_1559675268,8.615
dish_1563984729,7.544
dish_1568405430,8.612275
dish_1565727821,6.161
dish_1550710845,4.68
dish_1566933454,9.049747
dish_1559751458,36.161999
dish_1558468589,1.815
dish_1558641037,16.379999
dish_1550770511,12.323999
dish_1562702412,21.698669
dish_1567542778,32.830002
dish_1561996535,2.72
dish_1551375218,26.48
dish_1558468435,5.6
dish_1559059954,0.28
dish_1551564543,2.394
dish_1560368138,4.593
dish_1551389588,732.300049
dish_1559238481,15.24
dish_1568665970,24.117001
dish_1566931650,23.139999
dish_1551318377,22.99
dish_1561061630,17.850639
dish_1563294441,16.793999
dish_1558547205,37.510998
dish_1566230222,3.234
dish_1563378372,53.319
dish_1565897569,5.554203
dish_1559841891,43.332001
dish_1551221801,0.0
dish_1551562881,2.394
dish_1558641442,21.809999
dish_1558031566,0.364
dish_1565034330,39.217323
dish_1558717969,19.799999
dish_1551306860,0.154
dish_1562614121,8.716035
dish_1564171888,7.637636
dish_1562949541,16.525366
dish_1558114875,0.429
dish_1561666640,12.400001
dish_1560539368,17.820642
dish_1561665706,61.510002
dish_1562010369,1.970436
dish_1551322890,1.488
dish_1558636028,38.542999
dish_1564685229,14.729663
dish_1558631904,21.559999
dish_1561049373,2.298
dish_1551227581,2.79
dish_1551225714,13.95
dish_1551124637,0.28
dish_1551378151,17.208
dish_1562603536,0.196
dish_1561578156,5.610784
dish_1550772960,3.876
dish_1550861950,8.04
dish_1565195398,18.777807
dish_1550713462,1.159
dish_1558638216,12.04
dish_1562704640,26.863106
dish_1563813395,16.471661
dish_1565981802,6.631088
dish_1564170098,5.166
dish_1558636902,9.5
dish_1551232713,7.02
dish_1563379494,4.677857
dish_1563898813,11.959503
dish_1563910276,11.068739
dish_1558640074,16.24
dish_1551222363,11.25
dish_1563308323,6.6
dish_1550711973,3.127
dish_1558636928,3.471
dish_1562872182,6.886
dish_1565107211,49.041954
dish_1560802562,0.966137
dish_1558722322,9.2
dish_1551487779,0.6
dish_1551486217,11.493
dish_1562169729,4.433764
dish_1551491048,5.945
dish_1566501258,2.7
dish_1563811439,7.279
dish_1566419546,37.687
dish_1557853229,1.512
dish_1551392316,1.17
dish_1565811287,2.794
dish_1551236521,48.341
dish_1559843690,14.05
dish_1562947409,25.869999
dish_1561580322,6.672
dish_1558550079,19.879999
dish_1558375506,0.426
dish_1559838214,0.112
dish_1550773506,5.644
dish_1566501153,17.909
dish_1562689645,4.59483
dish_1550791822,26.880001
dish_1567625392,18.900763
dish_1550708221,1.083
dish_1562613340,14.061036
dish_1566501324,10.038
dish_1568404889,45.123398
dish_1568143252,5.438138
dish_1562946075,11.836
dish_1562184628,0.602
dish_1558641108,24.771
dish_1551134824,23.689999
dish_1551135590,2.25
dish_1558640917,1.05
dish_1551303727,5.58
dish_1551141670,3.69
dish_1568316041,4.53204
dish_1558459462,15.3
dish_1565898544,8.612269
dish_1563464670,47.477001
dish_1558636582,45.948002
dish_1551233745,0.705
dish_1551493883,1.5
dish_1558723512,3.9
dish_1551237558,44.529999
dish_1558381084,9.54
dish_1568401018,7.196
dish_1550773949,55.550003
dish_1551492732,2.457
dish_1551381321,24.34
dish_1560443537,60.169998
dish_1566500988,4.7
dish_1565379868,49.074287
dish_1565119439,42.858475
dish_1564775147,5.23064
dish_1550707504,1.36
dish_1568217325,4.295527
dish_1551565613,2.65
dish_1565640772,2.862
dish_1561737271,46.548996
dish_1551564637,3.43
dish_1565640868,19.803999
dish_1551373181,20.24
dish_1558114937,2.597
dish_1558379182,12.712
dish_1558725226,3.95
dish_1563389413,6.93
dish_1563826306,69.584892
dish_1567538263,5.491088
dish_1563305653,3.861
dish_1559245589,5.129289
dish_1566330399,3.739511
dish_1565640365,54.556591
dish_1551226101,46.409996
dish_1568132601,20.84
dish_1565378731,27.449049
dish_1558628956,0.448
dish_1558116090,7.28
dish_1551493773,12.198
dish_1559841091,22.135
dish_1568061145,23.153978
dish_1551379881,20.559999
dish_1551137091,25.380001
dish_1551488137,3.28
dish_1551223249,15.0
dish_1560973936,6.022747
dish_1567537422,12.18853
dish_1561579576,14.455882
dish_1551390341,12.76
dish_1551565797,2.457
dish_1550874191,4.632
dish_1550770699,1.28
dish_1551377094,9.48
dish_1564415293,14.400001
dish_1563827482,24.548782
dish_1562010315,19.743494
dish_1551322577,9.48
dish_1551390802,11.28
dish_1550861187,60.200001
dish_1566402160,41.691624
dish_1562946106,16.796
dish_1562784266,20.240002
dish_1565798617,18.51827
dish_1551566236,1.89
dish_1550785404,9.1
dish_1551305168,6.93
dish_1551317743,30.68
dish_1564169254,20.425999
dish_1551237814,30.9
dish_1562874282,21.052488
dish_1551486628,13.307
dish_1560799407,10.166318
dish_1558720289,4.0
dish_1558373492,42.290001
dish_1558630737,4.45
dish_1559581333,4.350251
dish_1550874267,4.632
dish_1551135536,0.0
dish_1563984771,17.855515
dish_1563216659,4.554782
dish_1558723568,42.959999
dish_1561661500,42.275837
dish_1558026623,7.47
dish_1564170173,11.610001
dish_1560543557,11.636001
dish_1558724992,17.933001
dish_1558373284,4.746
dish_1550712143,15.141
dish_1551235868,21.359999
dish_1563391375,5.039431
dish_1562008429,1.765067
dish_1562702044,7.411408
dish_1551397752,0.0
dish_1561060531,26.291
dish_1566414862,12.06
dish_1560453132,5.810329
dish_1565637578,18.116875
dish_1559149688,2.172
dish_1558373639,1.06
dish_1551396629,12.0
dish_1562602832,15.514251
dish_1551236466,0.26
dish_1558026714,0.336
dish_1561404956,4.593264
dish_1550710318,8.179999
dish_1550778007,1.22
dish_1550859622,15.198
dish_1551491326,5.58
dish_1565379827,27.104969
dish_1564691420,22.601648
dish_1551488324,2.52
dish_1565725095,19.185001
dish_1558638844,21.559999
dish_1558379273,2.772
dish_1564761426,29.738001
dish_1550861703,30.615997
dish_1562876645,15.845915
dish_1551142547,23.195
dish_1563900205,21.506342
dish_1561580278,2.279
dish_1563824065,2.882
dish_1550707357,16.32
dish_1566316612,24.176441
dish_1551222982,2.66
dish_1551314927,15.960001
dish_1558373687,3.738
dish_1551488807,18.540001
dish_1551389118,2.07
dish_1562949494,12.325366
dish_1562945499,65.264664
dish_1550709129,15.09
dish_1564685144,3.4125
dish_1550711129,1.312
dish_1551237463,2.87
dish_1565203094,37.98381
dish_1560368162,7.774373
dish_1559233055,1.248
dish_1562704528,18.76
dish_1565884692,2.856
dish_1565031283,4.513725
dish_1551565720,13.64
dish_1550862993,4.2
dish_1558640593,16.24
dish_1562687554,42.104256
dish_1561145732,5.025
dish_1560539314,6.327587
dish_1558639221,4.9
dish_1551227280,0.98
dish_1559172356,6.928988
dish_1551232748,7.755001
dish_1550792365,18.219999
dish_1550777713,4.96
dish_1550876416,7.23
dish_1562959344,1.146
dish_1563811639,7.392
dish_1562860723,21.93
dish_1559232986,0.49
dish_1561737176,4.914
dish_1567537280,51.064735
dish_1561578188,10.810784
dish_1562180089,19.00104
dish_1567022251,18.481001
dish_1551493698,3.654
dish_1550770616,1.36
dish_1566933401,1.69561
dish_1551222833,16.02
dish_1560357832,17.474182
dish_1562875870,26.566978
dish_1551565425,3.15
dish_1563302345,5.092874
dish_1551395766,20.57
dish_1566923060,33.981998
dish_1558462036,0.468
dish_1558637247,24.42
dish_1558028142,5.548
dish_1558379639,4.704
dish_1551322714,7.14
dish_1559932674,14.88
dish_1559245801,14.98
dish_1561996786,9.42
dish_1562873814,6.799564
dish_1566931620,22.006001
dish_1567785223,13.794291
dish_1551389218,3.913
dish_1550711314,36.132
dish_1551303285,17.08
dish_1562873187,9.26375
dish_1561491180,20.364334
dish_1558725702,10.530001
dish_1566242298,17.345001
dish_1562789240,21.636833
dish_1559590031,42.538006
dish_1563389693,14.824001
dish_1551390837,27.68
dish_1551378635,6.4
dish_1550863078,15.21
dish_1551488448,4.155
dish_1551563660,11.688
dish_1566416388,34.873814
dish_1565728388,15.745001
dish_1562963059,25.158859
dish_1551490767,7.374
dish_1560543729,20.830944
dish_1561996859,25.222927
dish_1564588567,5.274
dish_1558381665,3.57
dish_1560455343,2.205773
dish_1565203015,8.94381
dish_1560455380,3.574773
dish_1565721855,23.092735
dish_1567020394,16.685022
dish_1558723671,9.3
dish_1563897395,26.800489
dish_1558379324,3.84
dish_1558458584,25.941
dish_1550772088,9.8
dish_1567024187,38.525391
dish_1558639012,63.264
dish_1551135656,3.196
dish_1550875931,9.18
dish_1565382733,32.639999
dish_1550777566,21.419998
dish_1561575347,37.903404
dish_1550708327,6.175
dish_1563564707,24.55752
dish_1561578323,14.405001
dish_1567023375,8.701454
dish_1558721533,4.4
dish_1562874049,51.925003
dish_1558638954,23.220001
dish_1551136531,0.88
dish_1562611824,16.74655
dish_1561996401,54.195999
